bookID,title,authors,average_rating,isbn13,language_code,num_pages,publication_date,publisher
28296,W  or the Memory of Childhood,Georges Perec/David Bellos,3.88,9781567921588,eng,176,2010,David R. Godine Publisher
11263,The Shrouded Walls,Susan Howatch,3.4,9780751533934,eng,224,2010,Sphere
13821,Lord of Light,Roger Zelazny,4.1,9780060567231,eng,296,2010,Harper Voyager
4023,American Psycho,Bret Easton Ellis,3.82,9780330484770,eng,399,2010,Picador
22874,The Gap Into Vision: Forbidden Knowledge (Gap  #2),Stephen R. Donaldson,3.99,9780553297607,en-US,480,2010,Bantam
25807,The Postman Always Rings Twice,James M. Cain,3.8,9780752861746,eng,116,2010,Orion
28597,Prometheus Rising,Robert Anton Wilson/Israel Regardie,4.26,9781561840564,eng,284,2010,New Falcon Publications
16739,Blessings,Belva Plain,3.91,9780440243250,eng,393,2010,Dell
23410,Pimsleur German Level 1 CD: [Lessons 1-30],Pimsleur Language Programs,4.23,9780743518369,eng,16,2010,Pimsleur
22559,Cities in Dust (Wasteland #1),Antony Johnston/Christopher Mitten,3.55,9781932664591,eng,160,2010,Oni Press
26009,Glamorama,Bret Easton Ellis,3.46,9783453190146,ger,832,2010,KiWi
16647,The Dream Master,Roger Zelazny,3.64,9780575073432,eng,160,2010,Gollancz
9915,Less Than Zero,Bret Easton Ellis,3.58,9780679781493,eng,208,2010,Vintage Books
2547,The Prophet,Kahlil Gibran/جبران خليل جبران/Jihad El,4.23,9780001000391,eng,127,2010,Rupa & Co
30071,The Walking Dead  Book One (The Walking Dead #1-12),Robert Kirkman/Tony Moore/Charlie Adlard/Cliff Rathburn,4.35,9781582406190,eng,304,2010,Image Comics
26595,Earthquake in the Early Morning (Magic Tree House  #24),Mary Pope Osborne/Salvatore Murdocca,3.94,9780679890706,eng,96,2010,Random House for Young Readers
29312,Riddley Walker,Russell Hoban,4.03,9780747559047,eng,236,2010,Bloomsbury
16336,The Unexpected Guest: A Play In Two Acts,Agatha Christie,3.83,9780573014673,eng,100,2010,Samuel French Ltd
28202,The Metaphysical Club,Louis Menand,4.07,9780007126903,eng,560,2010,HarperCollins Publishers
26827,Park Profiles: Grand Canyon Country (Park Profiles),National Geographic Society,4.1,9780792270324,eng,200,2010,National Geographic
35561,The Beatles' Story on Capitol Records  Part Two: The Albums,Bruce Spizer,4.72,9780966264920,eng,264,2010,Four Ninety-Eight Productions
33295,The Naked Warrior: Master the Secrets of the Super-Strong - Using Bodyweight Exercises Only,Pavel Tsatsouline,4.0,9780938045557,en-US,218,2010,Dragon Door Publications
5420,'Salem's Lot,Stephen King,4.02,9780340770535,eng,586,2010,Hodder & Stoughton Ltd
3806,Creative Correction: Extraordinary Ideas For Everyday Discipline,Lisa Whelchel/Stormie Omartian,3.93,9781589971288,en-US,367,2010,Thomas Nelson
6334,Never Let Me Go,Kazuo Ishiguro,3.82,9781400078776,eng,288,2010,Vintage Books
17982,The Reverse of the Medal (Aubrey & Maturin #11),Patrick O'Brian,4.41,9780006499268,eng,261,2010,HarperCollins
43504,Harry Potter and the Philosopher's Stone (Harry Potter  #1),J.K. Rowling,4.47,9781582346816,gla,250,2010,Bloomsbury USA Childrens
36023,Tim Burton: Interviews,Kristian Fraga,4.26,9781578067596,eng,192,2010,University Press of Mississippi
5089,A Short History of Nearly Everything (Illustrated Edition),Bill Bryson,4.21,9780385663557,eng,624,2010,Anchor Canada
5359,The Client,John Grisham,4.0,9780385339087,eng,483,2010,Delta
37063,The Gospel of Filth: A Bible of Decadence & Darkness,Gavin Baddeley/Dani Filth,4.45,9781903254387,eng,544,2010,Fab Press
5157,Black and Blue,Anna Quindlen,3.88,9780385333139,eng,288,2010,Delta Publishing
24155,Judy Moody Declares Independence (Judy Moody #6),Megan McDonald/Peter H. Reynolds,4.08,9780763628000,eng,160,2010,Candlewick
17686,Diaries  1910-1923,Franz Kafka/Max Brod/Joseph Kresh/Martin Greenberg,4.23,9780805209068,eng,521,2009,Schocken
9551,Shadow of the Almighty: The Life and Testament of Jim Elliot,Elisabeth Elliot,4.4,9780060622138,eng,272,2009,HarperOne
17544,The Quiet Little Woman: A Christmas Story,Louisa May Alcott/C. Michael Dudash/Stephen W. Hines,3.67,9781562926168,eng,122,2009,Honor Books
39625,Call of the Moon,Ronda Thompson,3.74,9780505525154,eng,352,2009,Love Spell
9544,Owning Your Own Shadow: Understanding the Dark Side of the Psyche,Robert A. Johnson,4.04,9780062507549,eng,118,2009,HarperOne
2545,The Treasured Writings of Kahlil Gibran,Kahlil Gibran,4.42,9780890093894,eng,902,2009,Castle Books
29549,The Lost Blogs: From Jesus to Jim Morrison--The Historically Inaccurate and Totally  Fictitious Cyber Diaries of Everyone Worth Knowing,Paul       Davidson,3.61,9780446697385,eng,288,2009,Warner Books
12424,Safe Conduct: An Autobiography and Other Writings,Boris Pasternak/B. Deutsch,3.82,9780811201353,eng,256,2009,New Directions
34321,The Empty Envelope (A to Z Mysteries  #5),Ron Roy/John Steven Gurney,4.06,9780679890546,eng,96,2009,Random House Books for Young Readers
1643,El último lector,Ricardo Piglia,4.14,9788433968777,spa,209,2009,Anagrama
903,The Egypt Game,Zilpha Keatley Snyder,3.83,9780808553038,eng,215,2009,Turtleback Books
9827,King Rat (Asian Saga  #4),James Clavell,4.14,9780385333764,eng,368,2009,Delta
9717,The Unbearable Lightness of Being,Milan Kundera/Michael Henry Heim,4.1,9780571224388,eng,320,2009,Harper Perennial
30065,The Walking Dead  Vol. 5: The Best Defense,Robert Kirkman/Charlie Adlard/Cliff Rathburn,4.29,9781582406121,eng,136,2009,Image Comics
25074,How it Ended,Jay McInerney,3.49,9780747553564,eng,196,2009,Bloomsbury Publishing PLC
5853,Half a Life,V.S. Naipaul,3.25,9780375707285,eng,224,2009,Vintage International
23920,Complete Tales and Poems,Edgar Allan Poe,4.38,9780785814535,eng,864,2009,Castle Books
6173,The Periodic Table,Primo Levi,4.21,9780140296617,en-GB,194,2009,Penguin Group(CA)
17152,My Antonia (Great Plains trilogy #3),Willa Cather/Alyssa  Harad,3.79,9780743487696,eng,314,2009,Pocket Books
36336,Patience  Princess Catherine (Young Royals  #4),Carolyn Meyer,3.79,9780152054472,en-US,208,2009,HMH Books for Young Readers
37773,Collected Poems,Chinua Achebe,3.74,9781400076581,eng,84,2009,Anchor Books
11247,Scandalous Risks,Susan Howatch,4.2,9780006496908,eng,480,2009,Harper
